,links,names,ratings,price for one,cuisine,no of cisine,delivery time
425,https://www.zomato.com/hyderabad/masala-republic-himayath-nagar,Masala Republic,4.3,₹200 for one,"Healthy Food, Italian, North Indian, Desserts, Beverages",5,46 min
426,https://www.zomato.com/hyderabad/o-cakes-malakpet,O-Cakes,3.9,₹200 for one,"Bakery, Desserts, Fast Food",3,41 min
427,https://www.zomato.com/hyderabad/tabish-restaurant-falaknuma,Tabish Restaurant,4.0,₹200 for one,"Chinese, Mughlai, Kebab, Shawarma",4,39 min
428,https://www.zomato.com/hyderabad/bombay-bar-restaurant-nampally,Bombay Bar & Restaurant,4.2,₹200 for one,"North Indian, Chinese, Seafood",3,35 min
429,https://www.zomato.com/hyderabad/aromas-of-golconda-2-rtc-x-roads,Aroma's Of Golconda,4.2,₹200 for one,"Biryani, Chinese, Seafood",3,45 min
430,https://www.zomato.com/hyderabad/eat-and-treat-falaknuma,Eat And Treat,3.6,₹200 for one,"Fast Food, Street Food, Momos, Ice Cream, Desserts, Beverages",6,54 min
431,https://www.zomato.com/hyderabad/rayees-shawarma-malakpet,Rayees Shawarma,4.3,₹200 for one,"Momos, Shawarma",2,32 min
432,https://www.zomato.com/hyderabad/milk-shake-factory-begum-bazaar,Milk Shake Factory,3.5,₹200 for one,"Shake, Coffee, Beverages, Burger, Sandwich, Fast Food",6,40 min
433,https://www.zomato.com/hyderabad/euro-bakers-nampally,Euro Bakers,3.8,₹200 for one,"Bakery, Fast Food",2,74 min
434,https://www.zomato.com/hyderabad/continue-night-way-1-falaknuma,Continue Night Way,3.8,₹200 for one,North Indian,1,54 min
435,https://www.zomato.com/hyderabad/grabz-himayath-nagar,Grabz,4.0,₹200 for one,Fast Food,1,50 min
436,https://www.zomato.com/hyderabad/1989-milkshakes-1-dilsukhnagar,1989 Milkshakes,4.2,₹200 for one,"Shake, Coffee, Beverages, Fast Food, Pizza, Pasta, Desserts",7,50 min
437,https://www.zomato.com/hyderabad/zaiqa-arabian-food-court-2-saroor-nagar,Zaiqa Arabian Food Court,3.9,₹200 for one,"Mandi, Chinese, Desserts",3,40 min
438,https://www.zomato.com/hyderabad/istanbul-doner-chandrayanagutta,Istanbul Doner,3.3,₹200 for one,"Shawarma, Fast Food",2,43 min
439,https://www.zomato.com/hyderabad/the-snack-hack-chandrayanagutta,The Snack Hack,4.0,₹200 for one,"Hyderabadi, Sandwich, Pizza, Burger, Wraps, Mexican, Fast Food",7,63 min
440,https://www.zomato.com/hyderabad/gourmet-ice-cream-cakes-by-baskin-robbins-malakpet,Gourmet Ice Cream Cakes by Baskin Robbins,3.5,₹200 for one,"Desserts, Ice Cream, Bakery",3,42 min
441,https://www.zomato.com/hyderabad/the-shawarmas-spot-nampally,The Shawarmas Spot,4.0,₹100 for one,"Shawarma, Fast Food",2,51 min
442,https://www.zomato.com/hyderabad/noodle-co-saroor-nagar,Noodle Co,4.0,₹100 for one,"Chinese, Asian",2,47 min
443,https://www.zomato.com/hyderabad/jain-jalsa-rani-gunj-secunderabad,Jain Jalsa,4.0,₹100 for one,"North Indian, Chinese, Momos",3,60 min
444,https://www.zomato.com/hyderabad/wahh-chaap-more-himayath-nagar,Wahh Chaap & More,4.2,₹100 for one,"Wraps, Momos, North Indian",3,48 min
445,https://www.zomato.com/hyderabad/red-dragon-himayath-nagar,Red Dragon,3.7,₹100 for one,"Chinese, Momos",2,61 min
446,https://www.zomato.com/hyderabad/red-door-kitchen-3-charminar,Red Door Kitchen,3.8,₹100 for one,"Pizza, Wraps, Sandwich, Burger, Fast Food, Ice Cream, Shake, Beverages",8,36 min
